unique_id,F1A10_1,F2A6,F2A7,F2A9,F3A3_1,F3A6_1,F3A7_1,F3A8_1
IDUS128906,4,5,1,2,7,1,1,3
IDUS137441,7,4,5,4,7,1,4,2
IDUS127809,4,3,3,5,4,4,4,4
IDUS140390,7,4,2,3,7,7,1,2
IDUS128906,4,5,2,2,7,3,2,1
IDUS115645,6,5,3,3,6,2,3,4
IDUS137441,7,4,5,3,7,2,1,1
IDUS137909,7,3,1,1,6,6,6,6
IDUS115630,7,4,2,2,7,1,4,2
IDUS112031,5,3,2,5,6,5,7,5
IDUS105307,3,5,5,3,4,1,1,1
IDUS103408,2,4,4,5,4,6,6,6
IDUS117263,7,4,3,4,7,1,3,3
IDUS104915,5,2,3,2,5,7,7,7
IDUS128906,5,5,1,2,7,3,1,2
IDUS131206,6,5,5,5,1,1,2,2
IDUS137909,7,3,3,1,6,6,6,6
IDUS108306,5,2,2,4,6,6,5,5
IDUS131206,6,5,4,4,6,4,4,3
IDUS137441,7,4,5,3,6,1,1,1
IDUS117263,6,4,4,4,5,5,5,4
IDUS128906,4,5,1,2,7,3,1,3
IDUS115645,4,5,4,3,5,1,3,5
IDUS104915,5,2,3,2,4,7,7,7
IDUS137909,7,3,3,1,6,2,6,6
IDUS103826,5,5,5,5,6,1,1,2
IDUS113795,5,4,4,5,6,1,4,4
IDUS115645,5,4,4,3,6,1,3,5
IDUS128906,4,5,3,2,7,2,2,3
IDUS131206,6,4,2,4,7,1,2,2
IDUS105307,3,5,5,2,5,1,1,1
IDUS104915,5,2,3,2,6,7,7,7
IDUS103826,4,5,4,4,7,1,3,2
IDUS131206,5,5,5,5,7,1,2,2
IDUS108736,6,3,3,3,3,3,3,3
IDUS137441,7,4,4,3,6,3,1,1
IDUS113075,7,2,3,2,3,1,3,1
IDUS137909,3,3,3,1,6,6,6,6
IDUS110288,4,5,5,5,7,1,1,2
IDUS128906,4,5,2,2,7,3,1,3
IDUS104915,4,2,3,2,5,7,7,6
